Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
124	224.58653	164.7548	 	176.21852	160.04074	 	158.31133	67.88994	*	171.22	41.077145	*	202.60257	26.217949	*
125	225.2612	161.56966	 	176.83588	157.93512	 	154.63837	68.78931	*	166.31609	41.61494	*	197.03098	26.146017	*
126	226.48592	158.71127	 	177.63333	155.92963	 	151.40909	69.8697	*	161.36932	42.096592	*	191.33333	26.201754	*
127	227.3295	156.15437	 	178.27037	153.87778	 	148.40184	70.94785	*	156.72728	42.664772	*	185.91965	26.241072	*
128	228.2234	154.1851	 	178.65152	151.82576	 	145.61656	72.61043	*	152.1175	43.97541	*	180.14285	26.223215	*
129	228.7563	152.42857	 	178.83083	150.12405	 	143.34146	74.35976	*	147.75424	45.398304	*	174.68349	26.28899	*
130	229.30556	151.63492	 	179.35402	149.01825	 	141.31818	76.29394	*	143.79776	46.977528	*	169.40178	26.651785	*
131	229.82433	151.56564	 	179.82089	148.67165	 	139.54294	78.13804	*	139.98619	48.64917	*	164.21428	26.758928	*
132	230.49225	151.80232	 	180.62782	148.63535	 	138.0	79.981926	*	136.54396	50.45055	*	158.87837	26.914415	*
133	231.30608	152.70912	 	181.61765	149.23529	 	136.7515	81.78144	*	133.2528	52.230335	*	153.63274	27.128319	*
134	232.3233	153.95488	 	182.65218	150.17392	 	135.09172	83.54142	*	129.68436	53.768158	*	148.15178	27.428572	*
135	233.54074	155.52592	 	183.79198	151.90146	 	133.4349	84.88461	*	126.44086	55.376343	*	142.89822	27.446903	*
136	234.84782	157.59058	 	185.02174	153.83333	 	132.1131	86.54762	*	123.146065	57.011234	*	137.5614	27.631578	*
137	236.32079	159.6362	 	186.4854	156.14963	 	131.13803	88.22392	*	120.26111	58.55	*	132.15218	27.865217	*
138	238.06934	161.68977	 	187.93796	158.93066	 	130.46297	89.296295	*	117.844635	59.980225	*	126.83036	28.196428	*
139	240.01428	163.83928	 	189.68248	161.6314	 	130.425	90.0875	*	115.626434	61.275864	*	121.45652	28.378262	*
140	242.02158	165.77698	 	191.52985	164.24626	 	131.28616	90.267296	*	114.095375	62.598267	*	115.96087	28.395653	*
141	243.97368	167.2614	 	193.41112	166.52963	 	133.11635	91.36163	 	114.19143	64.62	*	111.166664	29.551283	*
142	246.12816	167.56137	 	195.54546	168.12878	 	135.45181	95.97591	 	117.92246	68.60695	*	108.99495	32.742424	*
143	248.4258	166.5318	 	197.79457	168.83333	 	138.77647	103.21764	 	124.375595	74.782295	*	110.3	40.342106	*
144	250.71661	164.61552	 	200.42126	168.79134	 	143.18639	111.43491	 	131.07712	82.708954	*	116.20707	49.126263	*
145	252.75092	162.1691	 	202.6783	168.05814	 	148.45428	118.905716	 	137.38889	90.29227	*	123.7	56.195236	*
146	254.70447	159.76765	 	204.74428	166.58397	 	153.32248	124.29881	 	144.38083	95.992226	*	131.76213	61.567963	*
147	256.42426	157.55302	 	206.5376	165.0564	 	156.93637	126.28788	*	150.53192	98.164894	*	140.0283	64.537735	*
148	258.0498	155.61554	 	208.27942	163.20589	 	159.72156	124.99102	*	156.4121	96.95055	*	148.34906	64.179245	 
149	259.41464	154.28049	 	209.70149	161.32835	 	162.02975	121.22619	*	162.18912	93.56218	*	158.18594	61.45868	 
150	260.53003	153.37982	 	210.86154	159.77692	 	164.17879	115.99697	*	168.37628	89.27835	*	169.20634	57.746033	 
151	261.8421	153.48245	 	211.67424	158.33333	 	166.92592	109.49383	*	175.35858	84.5	*	182.13158	53.785713	 
152	262.51358	154.16063	 	212.3125	157.45312	 	170.20198	102.59271	*	182.5718	79.73077	*	194.56923	50.476925	 
153	263.3818	155.15454	 	213.07812	156.6875	 	174.32802	96.12421	*	190.0934	75.10989	*	206.77907	48.29845	 
154	264.22812	156.58755	 	213.66	156.212	 	179.23334	90.54	*	197.51149	71.52299	*	218.40552	47.192913	 
155	265.24655	158.15898	 	214.57086	156.01181	 	184.8481	86.139244	*	205.10378	68.68868	*	229.59091	46.757576	 
156	266.23584	159.72641	 	215.69048	155.96031	 	190.9079	82.6579	*	212.60828	66.608284	*	239.76984	47.06349	 
157	267.5145	161.11353	 	217.24603	156.34921	 	197.39404	79.1755	*	220.18831	64.64935	*	249.58943	47.247967	 
158	268.7108	162.74019	 	218.532	156.796	 	203.90541	76.02702	*	227.5	61.922077	*	258.62598	46.114174	 
159	269.55554	164.5202	 	219.66406	157.5	 	210.82867	72.85664	*	234.84616	58.846153	*	267.42062	44.134922	 
160	270.5	166.38144	 	220.7126	158.47638	 	217.12238	70.21329	*	241.39032	55.712902	*	275.292	41.46	 
161	271.52106	168.03159	 	221.82521	159.62195	 	222.4155	68.19014	*	246.57143	51.92857	*	281.5339	38.101696	 
162	272.53763	169.15054	 	223.388	160.636	 	226.17143	66.12857	*	249.5258	47.93871	*	284.36957	32.917393	 
